"idweb","dateparution","nomacheteur","objet","etat","url_avis","requetes","mention_AIAct"
"26-21640","2026-03-04","HOPITAUX DE PROVENCE","2025-0393  FOURNITURE DE DISPOSITIF MEDICAUX IMPLANTABLES POUR ORTHOPEDIE ET OSTEOSYNTHESE - ORT26 - AO (2026-2029)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-21640","biometrie","NON"
"26-16670","2026-02-18","CH GPE HOSP DE LA ROCHELLE RE AUNIS","Fourniture de dispositifs médicaux consommables D'ORTHOPEDIE et D'OSTEOSYNTHESE ORTHO en 42 lots","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-16670","biometrie","NON"
"26-41470","2026-04-25","CH de Saint-Brieuc/Paimpol/Tréguier - Etablissement support du GHT d'ARMOR","FOURNITURE DE DM PROTHESES ORTHOPEDIQUES, LIGAMENTOPLASTIE, MATERIEL D'OSTEOSYNTHESE ORTHOPEDIQUE ET MAXILLOFACIALE 2026/2030","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-41470","biometrie","NON"
"26-11234","2026-02-03","Societe Publique Locale Colibri","Fourniture de carburant et installation d'une cuve de stockage à accès par badge biométrique - SPL COLIBRI","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-11234","biometrie","NON"
"26-22590","2026-03-06","OFFICE FRANCAIS DE LA BIODIVERSITE","Programme de surveillance des cours d'eau - échantillonnage de l'ichtyofaune (14 lots)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-22590","biometrie","NON"
"26-1328","2026-01-08","Office de l'eau Réunion","SUIVI DES PEUPLEMENTS DE POISSONS ET MACROCRUSTACES DES ZONES D'EMBOUCHURES DU BASSIN REUNION","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-1328","biometrie","NON"
"26-42365","2026-04-28","Ville d'Antony","Aménagement et extension du système de vidéoprotection urbaine","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-42365","biometrie|IA_recrutement|video|IA_justice|IA_tout","NON"
"26-486","2026-01-07","VILLE de PARIS - DFA - SDA","Accord-cadre à marché subséquent pour la fourniture et acheminement de gaz naturel, aux points de livraison et d’estimation du groupement de commandes de la collectivité parisienne et services associé","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-486","biometrie","NON"
"26-967","2026-01-07","Syndicat Mixte du Lac d'Annecy","SILOE / Maintenance pour l'Unité de Valorisation de Biogaz","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-967","biometrie","NON"
"26-16283","2026-02-17","STCLM","FOURNITURE ET ACHEMINEMENT DE GAZ NATUREL 2026","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-16283","biometrie","NON"
"26-5489","2026-01-18","Ville de Lyon","Fournitures, installation et maintenance d'équipements pour les installations de vidéo protection et des dispositifs de suretés associés","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-5489","biometrie","NON"
"26-28105","2026-03-19","Syndicat Mixte du Lac d'Annecy","SILOE / Maintenance pour l'Unité de Valorisation de Biogaz","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-28105","biometrie","NON"
"26-28237","2026-03-19","STCLM","FOURNITURE ET ACHEMINEMENT DE GAZ NATUREL 2026","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-28237","biometrie","NON"
"26-6151","2026-01-20","VILLE de PARIS - DFA - SDA","Accord-cadre à marché subséquent pour la fourniture et acheminement de gaz naturel, aux points de livraison et d’estimation du groupement de commandes de la collectivité parisienne et services associé","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-6151","biometrie","NON"
"26-13787","2026-02-10","Syctom, l'agence métropolitaine des déchets ménagers","Mission d'assistance à la maitrise d'ouvrage sur le plan juridique_4lots","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-13787","biometrie","NON"
"26-34759","2026-04-03","Carif-Oref de Normandie","Déploiement d'un Système d'Intelligence Artificielle (SIA) d'accès aux données emploi-formation - projet IDA","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-34759","IA_education|IA_tout","NON"
"26-8508","2026-01-27","OPCO ATLAS","Actions de formation dans le cadre de campusAtlas « Cybersécurité Intelligence Artificielle""","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-8508","IA_education|IA_justice|IA_tout","NON"
"26-7010","2026-01-22","CA DE BETHUNE BRUAY ARTOIS LYS ROMANE","Fourniture d'un outil d'optimisation de la performance des réseaux d'eau potable à l'aide de l'intelligence artificielle","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-7010","IA_education|IA_recrutement|IA_justice|IA_tout","NON"
"26-18303","2026-02-20","OPPIC","Assistance et conseil pour l’intégration de solutions d’intelligence artificielle à l’Oppic.","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-18303","IA_education|IA_tout","NON"
"26-8236","2026-01-23","OPPIC","Assistance et conseil pour l’intégration de solutions d’intelligence artificielle à l’Oppic","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-8236","IA_education|IA_justice|IA_tout","NON"
"26-35076","2026-04-07","MIA - Syndicat Mixte de la Maison de l'Intelligence Artificielle (06)","PRESTATIONS DE « FACILITY MANAGEMENT » ET DE LOGISTIQUE ÉVÈNEMENTIELLE POUR LES BESOINS DU S2MIA (2 LOTS)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-35076","IA_education|IA_assurance|IA_police|IA_justice|IA_tout","NON"
"26-13113","2026-02-08","Metropole Toulon-Provence-Mediterranee","25FOUR11 - FOURNITURE ET INSTALLATION DE DISPOSITIFS D'INTELLIGENCE ARTIFICIELLE POUR LA DETECTION VISUELLE DE TRI POUR LES BESOINS DES REGIES DE LA METROPOLE TPM","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-13113","IA_education|IA_recrutement|IA_assurance|IA_justice|IA_tout","NON"
"26-25713","2026-03-12","Neoma Bs Reims","Solutions logicielles pour l'analyse automatisée de dossiers de candidature et la gestion des entretiens assistée par l'Ia et les tests de langues en ligne","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-25713","IA_education|IA_tout","NON"
"26-11800","2026-02-03","Conseil Savoie Mont Blanc","Services de formation thématique pour les équipes des bibliothèques de Savoie et de la Haute-Savoie","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-11800","IA_education|IA_tout","NON"
"26-1602","2026-01-09","Région Grand Est","Professionnalisation des acteurs de l'orientation, de la formation et de l'insertion - année 2026","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-1602","IA_education|IA_recrutement|IA_tout","NON"
"26-23216","2026-03-06","CMAR Normandie","Prestation d'animation d'actions de formations continues courtes transverses et qualifiantes, dispensées en présentiel et/ou en distanciel synchrone pour les clients de la CMA Normandie.","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-23216","IA_education|IA_tout","NON"
"26-6524","2026-01-20","Département de la Loire","Assistance à maîtrise d'ouvrage pour l'élaboration du Sdtan.Ia","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-6524","IA_education|IA_tout","NON"
"26-17105","2026-02-19","UNIVERSITE TOULOUSE II - JEAN JAURES","Formation du personne","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-17105","IA_education|IA_recrutement|IA_sante|IA_justice|IA_tout","NON"
"26-5240","2026-01-17","GCS UTIL","Fourniture, livraison, installation et mise en service d'un train complet de repassage grand plat sans recherche de coins et capable de séparer les articles blancs des articles couleur","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-5240","IA_education|IA_tout","NON"
"26-39224","2026-04-19","CCI ROUEN METROPOLE","Projet INNOP'IA - Phase 2 - Missions d'assistance","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-39224","IA_education|IA_recrutement|IA_justice|IA_tout","NON"
"26-1971","2026-01-09","Groupement de Sûreté Résidentielle Interbailleurs  Montpellier Méditerranée Métropole","ACHAT DE PRESTATIONS DE FORMATIONS POUR LE GSRI - 13 LOTS","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-1971","IA_education|IA_recrutement|IA_tout","NON"
"26-10963","2026-02-01","Groupement de Sûreté Résidentielle Interbailleurs  Montpellier Méditerranée Métropole","ACHAT DE PRESTATIONS DE FORMATIONS POUR LE GSRI - 13 LOTS","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-10963","IA_education|IA_recrutement|IA_tout","NON"
"26-25654","2026-03-13","EPSM Lille Métropole","Prestation de formation à destination du personnel du Groupement Hospitalier Territorial de Psychiatrie  du Nord Pas de Calais","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-25654","IA_education|IA_sante|IA_tout","NON"
"26-20872","2026-03-01","Uniformation","Catalogue de formation métiers pour les structures de la branche ÉCLAT","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-20872","IA_education|IA_sante|IA_justice|IA_tout","NON"
"26-28090","2026-03-19","Uniformation","Catalogue de formation métiers pour les structures de la branche ÉCLAT","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-28090","IA_education|IA_sante|IA_justice|IA_tout","NON"
"26-3062","2026-01-13","Département de l&#039;Oise","REFONTE INTRANET COHESION  CONCEPTION ET MISE EN OEUVRE D’UNE NOUVELLE SOLUTION POUR LA REFONTE DE L’INTRANET DU DEPARTEMENT DE L’OISE","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-3062","IA_education|IA_recrutement|IA_justice|IA_tout","NON"
"26-38879","2026-04-17","Département des Alpes-Maritimes - Direction Développement des Solidarités Humaines","2026A0038 - Fourniture, mise en place et exploitation du dispositif de téléassistance avancée et de services de sécurisation des logements et de suivi à distance des bénéficiaires de l'APA","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-38879","IA_education|IA_justice|IA_tout","NON"
"26-15334","2026-02-14","CONSEIL DEPARTEMENTAL DU CALVADOS (CD 14)","Conception, impression et distribution du magazine d'information du Département du Calvados","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-15334","IA_education|IA_recrutement|IA_justice|IA_tout","NON"
"26-13380","2026-02-08","CDC Informatique","PRESTATIONS INTELLECTUELLES D'ASSISTANCE A MAITRISE D'UVRE D'INGENIERIE LOGICIELLE","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-13380","IA_education|IA_recrutement|IA_justice|IA_tout","NON"
"26-18351","2026-02-22","CDC Informatique","PRESTATIONS INTELLECTUELLES D'ASSISTANCE A MAITRISE D'UVRE D'INGENIERIE LOGICIELLE","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-18351","IA_education|IA_recrutement|IA_justice|IA_tout","NON"
"26-2851","2026-01-11","Région Occitanie","PARCOURS QUALIFIANTS 2027","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-2851","IA_education|IA_sante|video|IA_tout","NON"
"26-6439","2026-01-21","Institut Polytechnique UniLaSalle","EQUIPEMENTS SPECIFIQUES IRM, MATERIELS POUR LE POLE D'ANESTHESIE, TENUES POUR BLOC OPERATOIRE ET ARMOIRE A PHARMACIE CONNECTEE POUR L'HOPITAL VETERINAIRE UNILASALLE: FOURNITURE ET INSTALLATION","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-6439","IA_education|IA_recrutement|IA_sante|IA_tout","NON"
"26-36928","2026-04-12","Institut Polytechnique UniLaSalle","EQUIPEMENTS SPECIFIQUES IRM, MATERIELS POUR LE POLE D'ANESTHESIE, TENUES POUR BLOC OPERATOIRE ET ARMOIRE A PHARMACIE CONNECTEE POUR L'HOPITAL VETERINAIRE UNILASALLE: FOURNITURE ET INSTALLATION","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-36928","IA_education|IA_recrutement|IA_sante|IA_tout","NON"
"26-22863","2026-03-06","CHU Rouen Normandie","Fourniture de dispositifs médicaux pour endoscopie pulmonaire et digestive pour le CHU Rouen Normandie","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-22863","IA_education|IA_sante|IA_justice|IA_tout","NON"
"26-28527","2026-03-20","Région Île-de-France","DSP relative à la conception, la construction, l’entretien-maintenance et l’exploitation du Tiers-Lieu dédié à l’intelligence artificielle et à l’innovation du Campus de l’Intelligence artificielle de","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-28527","IA_recrutement|IA_tout","NON"
"26-17037","2026-02-19","GIE ES - GIE EXPERTISE ET SUPPORT - CDC HABITAT","ACCOMPAGNEMENT POUR LE DEPLOIEMENT DE PROJETS ET D'ACTIONS D'INNOVATION OU DE RECOURS A L'INTELLIGENCE ARTIFICIELLE (IA)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-17037","IA_recrutement|IA_tout","NON"
"26-36169","2026-04-10","Agence régionale du numérique et de l&#039;intelligence artificielle","Mise en place et exploitation d’un profil acheteur régional et des modules associés - phase offre définitive","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-36169","IA_recrutement|IA_tout","NON"
"26-36237","2026-04-11","Agence régionale du numérique et de l&#039;intelligence artificielle","Tierce de maintenance applicative des solutions libres de dématérialisation des flux","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-36237","IA_recrutement|IA_justice|IA_tout","NON"
"26-27033","2026-03-17","Département des Alpes-Maritimes - Secrétariat Général","2025A0295 - Réalisation d’études quantitatives et/ou qualitatives d’opinion pour le Département des Alpes-Maritimes","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-27033","IA_recrutement|IA_justice|IA_tout","NON"
"25-143306","2026-01-02","Hauts-de-Seine Habitat - OPH","MARCHE DE CONSEIL, D'ASSISTANCE JURIDIQUE et de REPRESENTATION EN JUSTICE (9 lots)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:25-143306","IA_recrutement|IA_assurance|IA_justice|IA_tout","NON"
"26-5812","2026-01-18","HOPITAUX DE PROVENCE","2024-0903 - FOURNITURE DE DISPOSITIFS MEDICAUX STERILES A USAGE UNIQUE : FAMILLES VASCULAIRE, CARDIOLOGIE INTERVENTIONNELLE, RADIOLOGIE, RADIOLOGIE INTERVENTIONNELLE ET ELECTROPHYSIOLOGIE - CAV25 (202","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-5812","scoring","NON"
"26-25280","2026-03-13","CHU REIMS","A.O N° 012-A-1 - Fourniture de dispositifs médicaux de cardiologie et neurologie interventionnelles et circuits de CEC","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-25280","scoring","NON"
"26-10682","2026-02-01","CHU BORDEAUX","Hémodynamique adulte et pédiatrie et prothèses congénitales au profit du CHU de Bordeaux et du GCS Nouvelle-Aquitaine","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-10682","scoring","NON"
"26-2619","2026-01-11","SMMAG","Système d'information ""M"" : prestations d'assistance et de maintenance adaptative, corrective et évolutive","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-2619","scoring","NON"
"26-16319","2026-02-17","CHU REIMS","A.O N° 012-A-1 - Fourniture de dispositifs médicaux de cardiologie et neurologie interventionnelles et circuits de CEC","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-16319","scoring","NON"
"26-35257","2026-04-09","CHU REIMS","A.O N° 012-A-1 - Fourniture de dispositifs médicaux de cardiologie et neurologie interventionnelles et circuits de CEC","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-35257","scoring","NON"
"26-27871","2026-03-19","VILLE DE NICE","25V0758-Missions de contrôle technique dans les bâtiments et équipements communaux et métropolitains","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-27871","scoring","NON"
"26-34168","2026-04-04","CHU de Nantes","avis d'attribution","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-34168","scoring","NON"
"26-30147","2026-03-25","UNIVERSITE DE CAEN NORMANDIE","Caractérisation de l’hydrodynamique de surface du raz Blanchard par télédétection radar","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-30147","scoring","NON"
"26-14896","2026-02-13","OPCO SANTE","ETUDES SUR L'INTELLIGENCE ARTIFICIELLE DANS LE SECTEUR PRIVE DE LA SANTE, DU SOCIAL  ET DU MEDICO-SOCIAL","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-14896","IA_sante|IA_tout","NON"
"26-5170","2026-01-17","Université Sorbonne Paris Nord","Le présent marché a pour objet la fourniture d’équipements de Vidéosurveillance, Vidéoprotection et Alarmes Anti-Intrusion et prestations associées","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-5170","video","NON"
"26-11273","2026-02-03","Metz Métropole","CREATION, EVOLUTION ET MAINTENANCE DES SYSTEMES DE VIDEOPROTECTION ET DE VIDEOSURVEILLANCE DE METZ METROPOLE ET DE SES COMMUNES MEMBRES","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-11273","video","NON"
"26-40187","2026-04-22","Régie Transports de Martinique (972)","Accord-cadre à bons de commande portant sur la modernisation, l’extension et la maintenance des dispositifs de vidéoprotection / vidéosurveillance","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-40187","video","NON"
"26-40028","2026-04-22","CANUT","FOURNITURE, INSTALLATION, MAINTENANCE ET PRESTATIONS DE CONSEIL AUTOUR DES SYSTEMES DE VIDEOPROTECTION ET VIDEOSURVEILLANCE URBAINE","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-40028","video","NON"
"26-34306","2026-04-04","Centrale d'achat d'amiens metropole","SECONDE CONSULTATION - RELANCE DU LOT 29 : MAINTENANCE, EXTENSION ET MODERNISATION DES SYSTEMES DE SURETE, DE VIDEOPROTECTION ET DE VIDEOSURVEILLANCE - PRESTATIONS DE MAINTENANCES, CONTROLES REGL","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-34306","video","NON"
"26-28454","2026-03-20","Régie Transports de Martinique (972)","Accord-cadre à bons de commande portant sur la modernisation, l’extension et la maintenance des dispositifs de vidéoprotection / vidéosurveillance","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-28454","video","NON"
"26-23368","2026-03-08","CANUT","FOURNITURE, INSTALLATION, MAINTENANCE ET PRESTATIONS DE CONSEIL AUTOUR DES SYSTEMES DE VIDEOPROTECTION ET VIDEOSURVEILLANCE URBAINE","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-23368","video","NON"
"26-36301","2026-04-09","Ville de Châlette-sur-Loing","Travaux Et Mise En oeuvre D'Un Dispositif De Vidéoprotection","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-36301","video","NON"
"26-4215","2026-01-14","Ville de Caudry","Travaux d'installation de dispositifs de vidéoprotection.","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-4215","video","NON"
"26-4962","2026-01-16","Ville de Bagnères en Bigorre","FOURNITURE, MISE EN OEUVRE ET MAINTENANCE D'UN DISPOSITIF DE VIDÉOPROTECTION URBAINE ET DU RÉSEAU D'INTERCONNEXION","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-4962","video","NON"
"26-6243","2026-01-19","Mairie de Juvignac","Extension et maintenance du système de vidéoprotection urbaine","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-6243","video","NON"
"26-2314","2026-01-10","Communauté d'Agglomération Riom Limagne et Volcans","Amélioration, extension et maintenance du parc de vidéoprotection sur la commune de Châtel-Guyon","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-2314","video","NON"
"26-10884","2026-01-30","Mairie de Villeneuve-Sur-Lot","Extension Et Maintenance Du Dispositif De Videoprotection De La Commune","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-10884","video","NON"
"26-10484","2026-02-01","Ville de Gex","Extension et maintenance du dispositif de vidéoprotection de la Commune de Gex","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-10484","video","NON"
"26-7186","2026-01-22","RTM - Régie des Transports Métropolitains","FOURNITURE D'UN SYSTEME VIDEOPROTECTION TEMPS REEL POUR LE MATERIEL ROULANT DE TYPE TRAMWAY BOMBARDIER DE LA REGIE DES TRANSPORTS METROPOLITAINS ET PRESTATIONS ASSOCIEES","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-7186","video","NON"
"26-17236","2026-02-19","Ville de Saint-Paul","Alarmes anti-intrusions, systèmes de vidéoprotection et télésurveillance des établissements communaux de Saint Paul","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-17236","video","NON"
"26-27697","2026-03-18","CHU BORDEAUX","La maintenance préventive, corrective et les travaux d’extension du système de vidéoprotection au profit du GHT Alliance Gironde","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-27697","video","NON"
"26-39179","2026-04-17","Mairie de Suresnes","Travaux d’extension, de rénovation et de maintenance des systèmes de détection intrusion, contrôle d’accès et de vidéoprotection","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-39179","video","NON"
"26-28432","2026-03-20","COMMUNE DE MULHOUSE","Maintenance et extension du système de vidéoprotection de la Ville de Mulhouse.","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-28432","video","NON"
"26-37526","2026-04-15","Versailles Grand Parc","Travaux d'évolution et maintenance du dispositif de vidéoprotection de voie publique, du réseau de fibres optiques et des applicatifs IP relatifs à la gestion centralisée du territoire et du patrimoin","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-37526","video","NON"
"26-31685","2026-03-28","Université Paris-Saclay","Marché de maintenance et de déploiement des équipements de vidéoprotection de l'Université Paris-Saclay","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-31685","video","NON"
"26-35574","2026-04-08","Ville de Villeurbanne","Extension du système de videoprotection de la ville de Villeurbanne","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-35574","video","NON"
"26-749","2026-01-06","Commune de Saint-Dizier","Assistant à Maitrise d’Ouvrage sur la mise en place  et la consolidation du maillage de dispositifs de  vidéoprotection entre la commune de Saint-Dizier et  l’OPH de Saint-Dizier-.","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-749","video","NON"
"25-143284","2026-01-02","Commune de Saint-Dizier","Maintenance et installation de dispositifs de vidéoprotection-.","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:25-143284","video","NON"
"26-17039","2026-02-17","Mairie de Colombes","Travaux De Refonte, D'Extensions Et De Maintenance Du Dispositif De Vidéoprotection Urbaine","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-17039","video","NON"
"26-12413","2026-02-06","Mairie d'Agen","FOURNITURE,MISE EN SERVICE, MAINTENANCE DE LA VIDEOPROTECTION, DU CONTRÔLE D'ACCES ET DU RESEAU D'INTERCONNEXION SUR LA VILLE D'AGEN","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-12413","video","NON"
"26-20429","2026-03-01","Ville d'Andrézieux-Bouthéon","MAINTENANCE ET EXTENSION DU SYSTEME DE VIDEOPROTECTION","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-20429","video","NON"
"26-38500","2026-04-15","Mairie de Biot","Maintenance du système de vidéoprotection de la commune de Biot","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-38500","video","NON"
"26-36188","2026-04-09","COMMUNE DE VICHY","Fourniture et mise en place d’un réseau de cuivre et de fibre optique - Travaux de déploiement de l’infrastructure de Vidéoprotection","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-36188","video","NON"
"26-30506","2026-03-26","Commune de Cayenne","MODERNISATION ET EXTENSION DU DISPOSITIF DE VIDEOPROTECTION COMMUNAL","RECTIFICATIF","https://www.boamp.fr/pages/avis/?q=idweb:26-30506","video","NON"
"26-31607","2026-03-26","CAISSE D'ALLOCATIONS FAMILIALES DE PARIS","Fourniture de matériels et maintenance du système de vidéoprotection des sites de la Caf de Paris","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-31607","video","NON"
"26-27063","2026-03-17","CHU ROUEN NORMANDIE","Modernisation des systèmes de vidéoprotection existantes du CH DURECU-LAVOISIER de Darnétal","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-27063","video","NON"
"26-42140","2026-04-26","EPPDCSI - UNIVERSCIENCE Etablissement public à caractère industriel et commercial créé par décret interministériel du 3 décembre 2009","Prestations d'exploitations des installations de vidéoprotection et des systèmes anti-intrusion de l'EPPDCSI","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-42140","video","NON"
"26-1742","2026-01-07","Ville de Villefranche-sur-Saône","Déploiement, extension et maintien en condition opérationnelle du réseau fibre optique multi-services, des dispositifs de vidéoprotection et des applications associées","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-1742","video","NON"
"26-13375","2026-02-06","Commune de Cestas","Consultation pour l'établissement d'un accord-cadre de travaux d’extension du système de vidéoprotection sur la commune de Cestas 2026-2030","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-13375","video","NON"
